f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,Class
-2.403588932,-0.218339088,-3.015505688,2.187584954,-1.415101227,-4.87E-05,2.920956865,-4.165317056,-2.237563379,1.567810303,4.056277513,-5.816942154,3
-0.922965628,6.564720832,8.542599922,-3.67689116,1.526909612,-6.132242316,-1.284701502,-7.841046949,10.16196575,-1.933276691,8.959247225,-2.492584092,4
9.381325823,-0.157042848,9.6741371,4.059390197,9.150244727,-8.320245969,10.07697817,-11.59634925,-2.900056644,-1.890156105,0.39002936,-5.383296097,0
-7.610665432,-10.37505122,0.398027296,-6.178854593,5.848557711,2.276539899,-1.726163573,9.378226106,1.1467251,-9.630692658,-8.620246508,-0.552102727,2
8.58623892,-4.265563756,4.788978397,4.309953437,2.938052115,-4.294121054,6.980087903,-9.878267543,-5.01720391,0.15449211,7.647917048,-1.004416317,0
8.654651909,-2.984309324,-2.055991952,3.094043988,7.124672979,6.999557407,-0.560615572,-9.397718241,4.05628167,-1.197362845,3.034841196,10.48766454,5
1.941218411,4.264816155,9.281358829,-2.613481787,4.311070136,-12.23324314,-0.869870714,-5.190790363,7.0116778,-2.286550722,4.735045202,-4.017712824,4
1.181965285,-0.209685974,-3.057244194,2.908489055,-2.521907032,2.277894457,6.753476961,-5.512434656,-2.222723811,-1.564358767,2.187494571,-5.415754336,3
-6.955220299,-8.906774693,2.367034432,-4.655107028,4.915654464,-1.314149064,2.082032751,4.766447325,-3.1159792,-8.072162355,-6.828826297,-0.618831852,2
12.12095711,-0.055548758,-9.617384269,0.544593638,8.409874117,9.416641031,0.317661551,-8.761756108,2.764741016,-7.264784633,5.098223159,9.064158279,5
-5.767096453,-10.15116089,-1.249057111,-6.885217308,6.808654877,-2.157640198,-0.071477448,10.23793998,-0.468134806,-7.063680577,-10.22660486,3.084154952,2
-7.980408423,-10.31055758,1.890212882,-7.473622563,5.938661754,-1.3634314,-1.612693872,6.934436717,-0.564701206,-9.161823184,-9.352139341,-0.941738402,2
6.964048962,0.755696355,-5.891830075,6.411749654,8.389534279,8.550413719,0.825108524,-5.480673951,2.135101524,-2.937384072,3.501896765,8.797527428,5
3.481887151,5.142627011,6.92930905,-1.161612639,3.75175261,-6.252807837,-4.642422616,-6.144512993,9.277850101,-0.2323979,4.711859018,-0.7632421,4
8.694940863,11.40529215,-4.519294982,-0.005627116,-5.508735062,-0.2755858,-9.665262671,5.365747367,-2.358034154,10.42980003,4.409620006,8.936150427,1
-2.137981446,3.121225623,-0.2738694,1.091718327,-1.051213657,4.45061499,5.847746616,-7.159850823,-4.71654166,-0.89804209,0.539956014,-4.065418872,3
2.960122617,2.291813808,9.018250899,-1.540236198,1.558595937,-6.391844292,-1.983650237,-5.649428882,9.267149814,-0.264293002,4.76351123,-2.527531754,4
-5.445589744,-5.947116601,1.420996303,-4.027286968,3.848179488,-0.973643494,-2.481109022,9.907959179,4.059925556,-9.109382982,-6.906825315,-0.908506129,2
-5.845237917,-9.007484386,2.89520456,-8.757106476,8.528418575,-4.184046359,0.268096224,8.434535612,-0.025909327,-9.57013847,-5.230362638,-0.271854794,2
8.64441749,-0.621822856,-4.004672466,2.586639232,5.916966748,7.916275596,3.86723104,-10.10452103,0.9469025,-5.812144929,7.85407572,4.561445356,5
6.338348323,2.564962481,-3.063729227,4.046005897,5.256249316,7.065664669,2.624837177,-12.92491477,0.915700104,-6.950204439,7.637508331,9.682870824,5
10.96355552,0.191429802,10.81847509,3.235056791,4.933544492,-4.7300291,7.197049642,-11.78948228,-6.702340118,-3.709788747,3.569455143,-7.739258248,0
13.84192162,2.566851924,11.3163961,1.792166455,3.078948816,-7.462531669,8.196635622,-11.68445104,-3.164426295,-2.914113792,7.332402097,-7.827005599,0
4.967790793,11.58496595,-8.878030878,3.620877517,-10.17873631,-2.349675209,-9.955492801,10.87685166,-2.319026188,11.05722045,5.662962117,7.56979128,1
4.277073573,2.39733593,0.443920595,-1.236665749,-2.91635689,2.074188598,3.779689531,-4.850321329,-2.663839499,0.607160399,2.017263735,-4.852345406,3
-11.20018032,-6.567398251,0.040339472,-8.185416757,6.898782879,-1.399837684,0.182216581,8.247100173,0.942672307,-10.00427823,-8.613295069,1.413923505,2
1.863377024,2.299537058,9.476026107,-1.088353867,6.231578997,-5.718195444,-2.895645698,-7.170484864,8.370582676,-0.996181194,3.943420092,-4.775779163,4
10.96943264,0.625467765,-4.141720344,1.079127352,7.773994487,11.70900698,-0.37728917,-10.58002889,-0.262336775,-5.705496386,4.235631851,8.193615824,5
-6.207377973,-7.602159598,3.622088633,-6.875676865,7.394736216,-3.211296018,-0.861449712,8.124872806,4.294060098,-7.386229329,-7.714261616,4.913053232,2
1.559934204,2.211542321,6.049586282,-4.408116779,5.793289516,-8.206292395,-3.897068753,-9.072203094,7.607270139,-3.134754006,10.03528338,-2.774221299,4
-11.40184143,-11.21768229,3.607802853,-5.961201541,9.159609115,-2.254356805,4.753382199,8.802632367,0.022083658,-8.500787821,-5.756987277,-0.062220133,2
4.386460541,2.857596939,2.989590106,5.127996516,-1.115851847,0.007008367,3.578430693,-3.553456745,-2.193318884,1.247223676,1.326323506,-6.618913041,3
-1.723756749,-0.467436562,-3.353265031,1.593082729,0.363391907,1.891044111,8.638111064,-5.849025427,-4.861336279,1.091267049,6.592728596,-2.024119047,3
7.704234212,10.40028295,-4.468337357,6.295066973,-9.917463187,-0.231972643,-10.1623782,9.434570138,1.311140186,10.73742673,5.515918725,8.396513539,1
-0.154362049,4.262271473,7.939273101,0.511568184,4.357372035,-5.687676777,-1.126390631,-6.507155789,7.765695339,-2.055485863,7.450618796,0.831181917,4
-6.40373547,-11.90656483,1.528843784,-4.061960414,8.100285026,-1.526577452,3.192784054,8.628177923,2.263582922,-7.31934627,-7.101739403,3.877431608,2
-5.189769275,-8.257254414,1.43854225,-6.54706386,5.827093991,0.486095339,-1.953217332,8.649052772,-2.475740757,-6.274581348,-5.319679731,1.967677223,2
12.92582752,4.5518055,12.46305957,4.928074403,5.353967103,-5.254819861,10.04482712,-7.453253743,-5.378293127,0.909183377,6.935222325,-3.571088362,0
-5.564101755,-8.006999743,0.719182556,-9.289708805,2.477137686,-4.558078041,-0.607483949,13.32900562,-1.022426036,-8.786454234,-6.545326478,-0.766490348,2
-0.975262731,1.663200396,7.426602962,-5.664747271,0.694231942,-8.72232358,-2.877180478,-8.355007232,12.35111528,1.873836201,3.332687689,-0.132997,4
0.002947688,6.200962423,10.44692443,-0.697573427,3.110636289,-4.888214387,-0.28567137,-7.575158452,6.725222146,0.881541407,8.099781794,-0.341286784,4
5.244387616,3.589569199,6.047277287,0.38964877,5.139209639,-6.907106754,-3.970097685,-8.851381024,7.713037815,-1.675498758,8.404499617,-1.254572071,4
3.425694218,3.897330945,7.491270658,-3.747145164,2.777305859,-6.934287245,1.70591059,-4.787251451,7.542661138,-2.622248305,8.673229309,1.409134358,4
10.26309994,0.825722678,6.560176679,2.250519549,5.052093156,-9.862006164,12.54246607,-12.30259452,-6.868983996,-3.215509245,4.38490278,-8.157692904,0
4.707903386,-0.034405683,-4.504665761,-1.171290045,6.939123415,2.424189835,3.382955281,-5.785299054,1.377826376,-4.165143342,4.864444756,6.109348158,5
10.5639411,8.720635082,-3.558862743,2.893037387,-12.1797339,-0.106819512,-8.103445541,8.497384164,2.238285675,8.351713371,5.558708718,7.849857975,1
8.947599221,2.425753875,8.943683501,7.675360719,5.399572798,-5.783330157,9.831540892,-10.93109539,-4.806840594,-5.061767162,2.625595949,-3.481294465,0
6.810915777,9.795180285,-7.09853215,3.716533213,-7.87471673,-3.88074161,-10.67228256,10.28643111,-2.644388894,10.40871019,3.048386842,6.756422772,1
1.543187498,1.554696376,6.781177424,-5.666261783,0.003266547,-5.776618114,-0.71829872,-4.842928025,10.97472661,-0.127058295,8.889462956,1.707724142,4
10.33153414,0.488406235,9.29227507,4.355007996,6.681008955,-4.357638921,7.189606271,-6.776102879,-0.859478408,-0.370549169,6.420318205,-8.805716536,0
-2.253968447,-7.206339972,4.855239355,-9.853777717,7.049014555,-0.487271094,1.571197369,7.135071884,1.050953692,-7.085570721,-8.203073136,0.820944304,2
7.994435464,8.957674657,-7.658239839,2.714295258,-8.72176847,-3.890494775,-11.4858404,8.761751201,-2.225070865,13.24342051,8.125112486,6.229308939,1
8.887252995,1.422140669,-4.336027896,-0.056177743,6.434986729,1.637438228,3.073977645,-8.653853332,-1.268941967,-4.809440227,7.186925148,5.300598634,5
-4.761073306,-6.148196954,2.915248709,-4.891267343,3.624676331,-0.612119578,-1.511103312,12.85205568,-3.402010558,-10.06204453,-7.225245982,-0.688364277,2
-8.022472283,-6.420162508,-0.436148112,-6.030067792,2.421387888,-0.242957961,-0.559718498,14.12226885,0.325965173,-8.444541424,-9.794576307,0.380296367,2
-7.925598555,-8.175526891,1.311629208,-6.853468934,5.143815019,-2.837130651,-1.746498334,8.836853054,1.478096265,-4.414458817,-9.055905524,1.35840844,2
-7.9875326,-7.46365818,2.196401517,-7.443315907,6.563114194,-2.78233906,1.876364962,8.085006346,-0.770249591,-5.685518518,-4.748774035,2.063712927,2
8.020783174,10.22072239,-8.02599938,0.95386765,-8.153058373,-0.72475217,-9.268641468,9.403393663,-1.753545799,10.02595013,9.44199791,5.075760802,1
4.625196173,-3.841989439,-2.563844793,-0.326075863,7.023438386,6.076340551,7.048540016,-11.29916374,-0.17023726,-7.612165919,6.711626374,8.386267388,5
3.687851488,1.799589961,-4.392344134,3.288651884,-3.753563415,2.707993137,4.50285928,-5.230068347,-2.757251018,-2.147622581,1.897517815,-4.001164807,3
11.47869189,-1.077921772,-2.74815787,-0.062244311,7.324048569,5.555610835,3.205491335,-8.683153779,4.974780221,-6.695165597,6.396018835,8.370775759,5
5.752292329,8.178497262,-3.83506898,-0.527366565,-9.98821761,-1.647193499,-6.565772849,6.751641935,-3.190441801,6.757918242,5.916437734,3.260123692,1
11.95801078,-0.367106663,10.43633846,2.176406586,4.527995226,-4.581465785,13.59163692,-7.162565011,-5.742992842,3.570265197,7.246783783,-6.641014318,0
0.577551376,4.124121184,-1.614765262,6.66813525,-1.769638648,3.816433035,3.364789787,-5.765530586,-2.666551883,2.361960399,3.670721739,-4.933451261,3
-5.986705444,-7.843907064,2.869117536,-4.160539999,3.081363728,-0.185389659,-2.095244217,11.9002783,-2.285101399,-7.962454144,-7.706949579,1.367747904,2
-5.677586318,-7.820091903,1.424944242,-8.6080874,5.013902067,-1.51732714,4.45618683,7.319844306,2.789554863,-6.478937524,-12.09907465,0.984917571,2
9.103196644,-0.944639266,9.959513222,2.014896488,2.229042285,-13.81012774,7.77507873,-11.73376497,-3.725791486,-1.258269107,5.580476361,-5.435931171,0
7.171525315,-1.353560654,-4.345667189,0.231836494,7.237067962,7.745209792,4.481561008,-8.986245721,-0.58761103,-3.658735953,5.96600053,9.08323351,5
9.330933137,-2.073773872,6.861917517,1.643692327,2.665887143,-7.623563552,9.397842259,-9.232021393,-1.346275597,-0.422377885,6.315738676,-5.335550567,0
-5.229358714,-8.405904203,-0.622534519,-7.158226862,9.269268061,-2.148318008,0.858182889,8.705279335,-0.272818372,-5.33637292,-6.919245028,-0.743389267,2
11.33036691,-0.389007483,-5.805219502,0.64766123,3.915340633,3.217329473,4.778304372,-7.656431461,2.28503114,-3.818075719,4.792023208,7.329369273,5
6.791772453,11.46172167,-5.784993085,5.956097545,-7.891144403,-2.085869512,-6.370314115,14.74937754,-3.001360611,9.695279056,6.325939212,8.665356384,1
5.7203467,4.011756468,8.013003543,5.511049918,2.910237702,-6.370262804,11.11086798,-8.760586495,-7.290652813,-3.241950777,4.603198208,-7.14643299,0
5.584732258,12.03576706,-5.661829158,-0.216980589,-12.18672374,-1.909121054,-6.798122297,8.479454562,0.94111636,11.89605445,7.915344699,6.310081898,1
8.122404936,-1.506463112,-6.625829605,2.377045524,6.067479472,8.021414963,2.335356696,-8.121657642,3.078146423,-4.946618779,8.128968421,8.671718505,5
7.685544269,0.336802913,-2.088194777,1.509060161,8.311343623,10.59002627,2.606876912,-7.791074446,2.38246668,-7.187507697,5.259287938,6.836223972,5
10.77742619,11.91579495,-6.976629942,0.198019432,-7.963054527,-3.380735014,-8.962439194,7.62785393,-1.431707719,10.37391337,4.424733436,9.684449188,1
1.270361086,2.925847732,8.003750635,-5.635699003,5.33782727,-7.232874389,0.777087604,-6.035336579,10.08255124,-2.327875043,5.044797318,-2.167391345,4
-8.271362937,-10.30774511,1.634339613,-8.938721389,4.476641472,-0.396809957,-0.433983351,5.330392701,-1.594662353,-4.348560658,-7.334666104,-2.093331635,2
4.68112879,8.490026475,-6.26549413,5.457520377,-9.082921898,-7.091369419,-10.86310672,7.723979399,-1.224548783,10.56793069,4.799250158,8.006009197,1
-8.121853596,-10.21673239,1.760221291,-3.499312003,2.682335717,-7.211688651,-3.068132497,11.90227528,1.960611319,-8.930743945,-6.347640911,1.740488453,2
3.381550019,3.96858308,9.348228203,-1.022706215,1.514466482,-7.741344421,2.345918945,-6.156645319,9.848083454,-2.35259144,4.14702304,-3.169502703,4
8.096227572,8.885817193,-5.568176977,0.273358234,-11.12111798,-3.046770037,-7.946108553,9.465270994,-2.940305866,12.55481243,5.51636435,10.41587224,1
-4.074045294,-8.186645303,-0.939903969,-3.929119692,8.40285318,-3.510800382,1.514184585,8.056433468,0.369257622,-8.541670119,-8.690866176,2.162349919,2
4.977455757,10.5479758,-5.673882498,2.244922318,-10.2454527,-3.347833856,-9.71691268,7.387817153,-4.673757058,7.84789379,3.952634418,3.934580014,1
6.803505278,7.987846064,-8.380741587,3.984505337,-10.39580645,-5.675585276,-10.51644545,6.754989855,1.281441444,9.069128514,6.641532359,5.972113996,1
-7.154460052,-8.221263355,0.699444808,-3.929885894,5.071555427,-4.317628758,0.299862772,10.76513018,0.629435179,-5.246523655,-6.053646454,1.414884285,2
5.360548527,8.33471126,-6.171732565,3.661515259,-10.47583146,-3.142512147,-7.656686659,10.32499759,-4.600330047,10.32923568,4.403591157,5.706531394,1
0.672909014,4.057994359,6.237162795,-1.838824912,2.657727266,-6.76256008,0.346998313,-3.123300057,6.282423349,-0.293428599,3.468642523,1.522342462,4
7.760905979,9.627284106,-10.50314115,1.533242601,-10.43827627,-3.716408781,-9.178755192,7.613681362,-0.731266288,12.23973446,3.47026719,5.229623524,1
-0.685169427,3.20020147,-3.586623684,4.019758358,-2.725865696,1.775789645,6.13567291,-8.068511121,-3.021686038,2.169051934,6.548969812,-2.510862955,3
5.213755171,0.337743933,-1.338837809,2.086110585,9.47506395,9.309843388,1.766091736,-10.6580346,0.273861728,-8.969802535,2.328681577,7.859401629,5
9.730323949,1.980888064,9.579945181,3.036313047,5.104563665,-4.957901262,8.029125444,-9.850363695,-5.699274361,-2.009272937,6.426644598,-5.901105899,0
6.983595439,-1.791281516,-3.90711962,1.141529391,8.648397611,6.538907213,3.317189743,-8.12669753,0.844895921,-4.871685471,4.146153398,8.057184697,5
-0.258565188,2.462772257,9.293781033,-1.302709514,3.1166984,-8.16448597,-0.302933741,-4.931964588,6.545669049,2.604083153,9.278766475,-2.075395937,4
2.431354116,2.09451251,-3.094822855,5.277741482,0.219698814,0.750795554,4.273136216,-4.576398718,-5.311413222,-0.036711032,2.858031995,-6.86505903,3
9.388511043,9.529624796,-3.558148627,0.764659544,-9.413477321,-0.397756646,-9.497593758,7.880768966,-2.45350806,8.482412269,4.48223294,4.103989033,1
-6.609797704,-9.744256254,1.186514992,-5.55842043,3.145176449,-0.249208089,1.960801381,10.9448753,2.407107764,-4.112963373,-8.455527736,1.602442811,2
8.789024864,-0.861228167,5.161266306,6.113904571,8.361225776,-7.374045384,8.911946221,-8.434815779,-5.765271911,-2.723306339,2.503501091,-6.535194292,0
-2.412131587,1.973897955,-5.19043373,1.841458264,-3.151697485,2.297525919,6.971361648,-5.473239997,-0.527818262,1.98794818,3.590374299,-5.992147911,3
-8.171023285,-7.425243132,2.670084664,-9.954732696,9.363368842,-3.153308522,-1.40574365,12.23775749,2.638999025,-10.02784349,-5.221868171,1.576947305,2
9.023899595,-1.460168437,5.382280446,0.503069655,-0.044219833,-4.110333601,8.301557381,-10.58411607,-5.915073264,-1.959986738,5.130360638,-8.205246908,0
4.51013498,2.017065573,8.156174714,0.000988154,0.772626128,-4.183929159,0.990874033,-8.514435929,8.073258598,0.665967929,8.797560165,-3.461364525,4
5.362936402,0.341188217,0.048290287,1.330542733,-2.029693757,3.362570598,2.20067392,-4.052767794,1.696614798,1.233510358,3.722419785,-5.02390404,3
-6.397941934,-7.341544206,4.287112419,-8.858622321,3.735998119,-5.451442214,-0.598670794,9.39186562,-5.916161876,-3.827813128,-2.203458348,1.046571822,2
